FECHA,CARACTER #,JURISDICCION #,SERVICIO #,CARACTER,JURISDICCION,SERVICIO,PROGRAMA,CREDITO,COMPROMISO,DEVENGADO,PAGADO,COMPROMISO (%),DEVENGADO (%),PAGADO (%)
07/07/2010,2,1,1,Administracion Descentralizada,Poder Legislativo Nacional,Auditoria General de la Nacion,1 - Control Externo del Sector Publico Nacional,115033,101943,58409,44503,0.88620657,0.5077586,0.3868716
07/07/2010,1,1,312,Administracion Central,Poder Legislativo Nacional,Senado de la Nacion,312 - Control Parlamentario de Los Fondos de la Seguridad Social,3042,1521,1521,1521,0.5,0.5,0.5
07/07/2010,1,1,312,Administracion Central,Poder Legislativo Nacional,Senado de la Nacion,312 - Control Parlamentario de Seguimiento de Tramite Legislativo,1800,450,450,450,0.25,0.25,0.25
07/07/2010,1,1,312,Administracion Central,Poder Legislativo Nacional,Senado de la Nacion,312 - Control Parlamentario sobre el Funcionamiento del Sistema de,3600,900,900,900,0.25,0.25,0.25
07/07/2010,1,1,312,Administracion Central,Poder Legislativo Nacional,Senado de la Nacion,312 - Formacion y Sancion de Leyes Nacionales,452695,243473,233480,198084,0.5378301,0.51575565,0.43756613
07/07/2010,1,1,312,Administracion Central,Poder Legislativo Nacional,Senado de la Nacion,312 - Fortalecimiento Institucional del Senado de la Nacion (BID 1,11565,47,41,41,0.0040639862,0.0035451795,0.0035451795
07/07/2010,1,1,312,Administracion Central,Poder Legislativo Nacional,Senado de la Nacion,312 - Revision de Cuentas Nacionales,1950,975,975,975,0.5,0.5,0.5
07/07/2010,1,1,313,Administracion Central,Poder Legislativo Nacional,Camara de Diputados,313 - Formacion y Sancion Legislativa,609654,594547,316010,280152,0.9752204,0.5183432,0.4595262
07/07/2010,1,1,313,Administracion Central,Poder Legislativo Nacional,Camara de Diputados,313 - Revision de Cuentas Nacionales,1061,1061,265,0,1.0,0.24976437,0.0
07/07/2010,1,1,314,Administracion Central,Poder Legislativo Nacional,Biblioteca del Congreso,314 - Asistencia Bibliografica,134463,130323,72789,63667,0.96921086,0.54133105,0.47349083
07/07/2010,1,1,315,Administracion Central,Poder Legislativo Nacional,Imprenta del Congreso,315 - Impresiones y Publicaciones Parlamentarias,60235,26559,26556,24624,0.44092306,0.44087324,0.40879887
07/07/2010,1,1,316,Administracion Central,Poder Legislativo Nacional,Ayuda Social Personal del Congreso de la Nacion,316 - Asistencia Social Integral al Personal del Congreso de la Na,61158,33444,31705,27916,0.54684585,0.51841134,0.45645705
07/07/2010,1,1,319,Administracion Central,Poder Legislativo Nacional,Defensoria del Pueblo,319 - Defensa de los Derechos de los Ciudadanos,54585,49441,24608,21529,0.90576166,0.45081982,0.3944124
07/07/2010,1,1,340,Administracion Central,Poder Legislativo Nacional,Procuracion Penitenciaria,340 - Proteccion de los Derechos del Interno Penitenciario,21250,15322,10052,9054,0.7210353,0.4730353,0.4260706
07/07/2010,1,5,320,Administracion Central,Poder Judicial de la Nacion,Consejo de la Magistratura,320 - Actividades Centrales,344628,189305,141208,112030,0.54930246,0.40974036,0.32507515
07/07/2010,1,5,320,Administracion Central,Poder Judicial de la Nacion,Consejo de la Magistratura,320 - Atencion de Pasividades,17219,7851,7851,5970,0.4559498,0.4559498,0.34671003
07/07/2010,1,5,320,Administracion Central,Poder Judicial de la Nacion,Consejo de la Magistratura,320 - Justicia de Casacion Penal,50929,23297,23230,17704,0.45744076,0.4561252,0.3476212
